[2025-05-25 20:01:34] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:01:36] Usuario: admin | Acción: listar_backups
[2025-05-25 20:01:51] Usuario: admin | Acción: diagnostico_red
[2025-05-25 20:02:57] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:03:17] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:03:30] Usuario: admin | Acción: ver_uptime
[2025-05-25 20:03:37] Usuario: admin | Acción: ver_uptime
[2025-05-25 20:03:45] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:05:03] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:05:09] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:06:51] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:06:59] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:09:20] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:09:33] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:09:47] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:11:31] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:11:39] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:12:46] Usuario: admin | Acción: puertos_abiertos
[2025-05-25 20:14:08] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:14:19] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:16:12] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:16:20] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:17:40] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:18:00] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:19:29] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:19:47] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:19:55] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:23:51] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:23:59] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:25:20] Usuario: admin | Acción: listar_backups
[2025-05-25 20:25:23] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:25:27] Usuario: admin | Acción: listar_backups
[2025-05-25 20:25:33] Usuario: admin | Acción: eliminar_todos_los_backups
[2025-05-25 20:25:35] Usuario: admin | Acción: listar_backups
[2025-05-25 20:25:37] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:29:25] Usuario: admin | Acción: listar_backups
[2025-05-25 20:29:28] Usuario: admin | Acción: eliminar_todos_los_backups
[2025-05-25 20:29:30] Usuario: admin | Acción: listar_backups
[2025-05-25 20:30:05] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:30:13] Usuario: admin | Acción: listar_backups
[2025-05-25 20:30:16] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:34:33] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:35:28] Usuario: admin | Acción: listar_backups
[2025-05-25 20:35:31] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:35:33] Usuario: admin | Acción: listar_backups
[2025-05-25 20:35:41] Usuario: admin | Acción: eliminar_backups
[2025-05-25 20:35:44] Usuario: admin | Acción: listar_backups
[2025-05-25 20:35:46] Usuario: admin | Acción: eliminar_todos_los_backups
[2025-05-25 20:36:11] Usuario: admin | Acción: listar_backups
[2025-05-25 20:36:22] Usuario: admin | Acción: listar_backups
[2025-05-25 20:36:26] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:37:59] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:38:29] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:38:49] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:39:05] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:39:13] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:43:29] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:43:39] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:48:20] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:49:30] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 20:49:42] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:51:43] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:52:47] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:52:50] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:53:08] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:53:17] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:53:26] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:53:30] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:53:42] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:54:27] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:54:32] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:55:20] Usuario: admin | Acción: crear_usuario
[2025-05-25 20:55:24] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:56:19] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:57:24] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:58:39] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 20:58:48] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:59:33] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:59:44] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 20:59:47] Usuario: admin | Acción: listar_usuarios
[2025-05-25 20:59:56] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 21:00:46] Usuario: admin | Acción: cambiar_password
[2025-05-25 21:01:13] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:01:22] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:02:25] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:05:12] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:06:02] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:52:59] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:53:05] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:53:36] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 21:53:42] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:54:26] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:54:30] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:55:16] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:55:55] Usuario: admin | Acción: crear_usuario
[2025-05-25 21:55:59] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 21:56:02] Usuario: admin | Acción: listar_usuarios
[2025-05-25 21:56:37] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:03:13] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:03:18] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:11:36] Usuario: admin | Acción: ver_conexiones
[2025-05-25 22:12:20] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:12:37] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:13:36] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:13:42] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:15:35] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:15:44] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:15:48] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:18:30] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:18:35] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:19:19] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:19:43] Usuario: admin | Acción: listar_backups
[2025-05-25 22:19:52] Usuario: admin | Acción: listar_backups
[2025-05-25 22:19:57] Usuario: admin | Acción: hacer_backup
[2025-05-25 22:20:00] Usuario: admin | Acción: listar_backups
[2025-05-25 22:20:52] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:22:24] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:22:41] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:25:24] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:25:39] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:26:38] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:27:13] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:27:19] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:37:49] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:37:59] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:49:31] Usuario: admin | Acción: ver_uptime
[2025-05-25 22:49:39] Usuario: admin | Acción: ver_uptime
[2025-05-25 22:49:45] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:50:44] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 22:50:49] Usuario: admin | Acción: listar_usuarios
[2025-05-25 22:51:31] Usuario: admin | Acción: crear_usuario
[2025-05-25 22:51:35] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:00:41] Usuario: admin | Acción: listar_backups
[2025-05-25 23:00:48] Usuario: admin | Acción: listar_backups
[2025-05-25 23:00:54] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:01:31] Usuario: admin | Acción: crear_usuario
[2025-05-25 23:01:36] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:02:14] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 23:02:24] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:04:02] Usuario: admin | Acción: ver_uptime
[2025-05-25 23:04:10] Usuario: admin | Acción: ver_uptime
[2025-05-25 23:05:04] Usuario: supervisor1 | Acción: puertos_abiertos
[2025-05-25 23:05:15] Usuario: supervisor1 | Acción: puertos_abiertos
[2025-05-25 23:06:57] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:07:34] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 23:07:43] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:08:56] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:12:04] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:13:06] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 23:13:11] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:13:57] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:14:09] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 23:14:32] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 23:14:43] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 23:14:54] Usuario: admin | Acción: verificar_integridad
[2025-05-25 23:14:57] Usuario: admin | Acción: verificar_integridad
[2025-05-25 23:21:02] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:21:53] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:22:18] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:22:40] Usuario: admin | Acción: crear_usuario
[2025-05-25 23:22:43] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:23:34] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:23:51] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 23:26:49] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:26:59] Usuario: admin | Acción: eliminar_usuario
[2025-05-25 23:27:07] Usuario: admin | Acción: listar_usuarios
[2025-05-25 23:27:14] Usuario: admin | Acción: eliminar_usuario
[2025-05-26 11:44:10] Usuario: supervisor1 | Acción: ufw_estado
[2025-05-26 11:44:22] Usuario: supervisor1 | Acción: ufw_estado
[2025-05-26 11:44:25] Usuario: supervisor1 | Acción: puertos_abiertos
[2025-05-26 11:44:55] Usuario: admin | Acción: listar_usuarios
[2025-05-26 11:45:04] Usuario: admin | Acción: eliminar_usuario
[2025-05-26 11:45:14] Usuario: admin | Acción: listar_usuarios
[2025-05-26 11:46:16] Usuario: admin | Acción: eliminar_usuario
[2025-05-26 11:47:00] Usuario: admin | Acción: ver_uptime
[2025-05-26 11:48:15] Usuario: cortes | Acción: listar_backups
[2025-05-26 11:48:33] Usuario: cortes | Acción: listar_backups
[2025-05-26 11:49:11] Usuario: cortes | Acción: ver_logs_apache
[2025-05-26 11:49:57] Usuario: cortes | Acción: listar_usuarios
[2025-05-26 11:50:21] Usuario: cortes | Acción: listar_usuarios
[2025-05-26 11:50:30] Usuario: cortes | Acción: cambiar_password
[2025-05-26 11:50:36] Usuario: cortes | Acción: eliminar_usuario
